City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Ponta Do Sol,PT,32.6667,-17.1,61.0,68,13,4.0,few clouds
78,San Antonio,US,29.4241,-98.4936,90.0,40,20,14.97,few clouds
79,Paamiut,GL,61.994,-49.6678,32.31,99,100,2.39,snow
80,Kavieng,PG,-2.5744,150.7967,79.92,82,100,10.8,light rain
81,Luderitz,NA,-26.6481,15.1594,61.48,86,1,13.15,clear sky
82,Kruisfontein,ZA,-34.0033,24.7314,57.99,92,43,1.01,scattered clouds
83,Carnarvon,AU,-24.8667,113.6333,75.2,83,88,13.8,overcast clouds
84,Paramirim,BR,-13.4425,-42.2389,78.42,54,79,5.68,broken clouds
85,Thompson,CA,55.7435,-97.8558,35.6,69,40,5.75,scattered clouds
86,Cedartown,US,34.0537,-85.255,79.0,23,1,4.74,clear sky
87,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,40,11.5,scattered clouds
88,Vestmannaeyjar,IS,63.4427,-20.2734,31.23,51,76,4.41,broken clouds
89,Lompoc,US,34.6391,-120.4579,64.99,63,92,12.66,overcast clouds
90,Sorland,NO,67.667,12.6934,35.6,69,75,29.93,broken clouds
91,Japura,ID,-0.3167,102.35,73.31,98,95,0.85,moderate rain
92,Graciano Sanchez,MX,23.9167,-99.2833,89.6,29,40,17.27,scattered clouds
93,East London,ZA,-33.0153,27.9116,66.34,81,69,16.55,broken clouds
94,Westport,US,41.1415,-73.3579,66.2,26,1,18.41,clear sky
95,Nangong,CN,37.3581,115.3744,52.9,45,100,1.88,overcast clouds
96,San-Pedro,CI,4.7485,-6.6363,80.02,87,47,4.9,scattered clouds
97,Scalea,IT,39.813,15.7956,57.96,84,17,23.09,few clouds
98,Karratha,AU,-20.7377,116.8463,80.08,56,2,6.35,clear sky
99,Atar,MR,20.5169,-13.0499,85.73,17,11,9.4,few clouds
100,Port Alfred,ZA,-33.5906,26.891,65.77,83,31,17.98,scattered clouds
101,Joao Pinheiro,BR,-17.7425,-46.1725,72.63,72,100,5.37,overcast clouds
102,Sinnamary,GF,5.3833,-52.95,79.66,81,82,10.69,broken clouds
103,Taoudenni,ML,22.6783,-3.9836,85.6,11,0,9.08,clear sky
104,Kumluca,TR,36.3703,30.2869,64.44,50,97,3.94,light rain
105,Tuatapere,NZ,-46.1333,167.6833,55.0,84,98,4.0,overcast clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,73,20,12.66,light rain
107,Bluff,NZ,-46.6,168.3333,55.0,84,100,4.0,overcast clouds
108,Upernavik,GL,72.7868,-56.1549,8.38,92,100,16.6,light snow
109,Fort Nelson,CA,58.8053,-122.7002,28.4,74,90,8.05,light snow
110,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,82,20,4.61,few clouds
111,Darab,IR,28.7519,54.5444,64.18,9,0,3.18,clear sky
112,Pevek,RU,69.7008,170.3133,-17.97,99,100,6.44,overcast clouds
